SO2,NO2,O3,CO,PM10,PM2.5,total_bad
0.106,0.002,0.001,11.2,388.0,380.0,1
0.061,0.015,0.055999999999999994,6.1,204.0,191.0,1
0.09,0.003,0.004,9.1,311.0,305.0,1
0.011000000000000001,0.068,0.055999999999999994,0.9,89.0,42.0,1
0.012,0.07,0.057999999999999996,0.9,97.0,47.0,1
0.013000000000000001,0.071,0.09,0.8,113.0,54.0,1
0.013000000000000001,0.063,0.095,0.8,133.0,68.0,1
0.012,0.062,0.057999999999999996,0.7,82.0,52.0,1
0.064,0.03,0.052000000000000005,3.0,354.0,349.0,1
0.053,0.016,0.053,2.4,359.0,357.0,1
0.008,0.062,0.054000000000000006,1.1,81.0,45.0,1
0.096,0.002,0.027000000000000003,11.0,296.0,247.0,1
0.017,0.098,0.136,1.1,90.0,54.0,1
0.057999999999999996,0.02,0.068,5.9,212.0,212.0,1
0.071,0.027999999999999997,0.068,7.3,226.0,206.0,1
0.009000000000000001,0.064,0.067,0.8,100.0,48.0,1
0.008,0.064,0.055,0.7,97.0,57.0,1
0.011000000000000001,0.07,0.059000000000000004,0.8,107.0,61.0,1
0.012,0.075,0.09,0.8,132.0,81.0,1
0.013000000000000001,0.071,0.08800000000000001,0.7,143.0,91.0,1
0.01,0.077,0.075,0.7,127.0,77.0,1
0.008,0.095,0.053,0.7,130.0,78.0,1
0.005,0.064,0.052000000000000005,0.8,83.0,57.0,1
0.005,0.067,0.054000000000000006,0.9,86.0,60.0,1
0.006999999999999999,0.07400000000000001,0.11900000000000001,0.8,101.0,74.0,1
0.008,0.08,0.077,0.7,105.0,74.0,1
0.009000000000000001,0.09,0.055,0.8,99.0,73.0,1
0.01,0.064,0.06,0.7,93.0,69.0,1
0.08,0.011000000000000001,0.08199999999999999,8.0,119.0,61.0,1
0.069,0.015,0.053,1.6,146.0,120.0,1
0.214,0.0,0.165,22.8,59.0,45.0,1
0.129,0.001,0.124,13.0,75.0,39.0,1
0.138,0.001,0.27399999999999997,13.5,72.0,37.0,1
0.098,0.011000000000000001,0.025,11.9,149.0,146.0,1
0.068,0.003,0.053,9.0,214.0,233.0,1
0.008,0.067,0.052000000000000005,0.7,154.0,80.0,1
0.005,0.061,0.066,0.8,103.0,65.0,1
0.008,0.064,0.12,0.7,125.0,73.0,1
0.009000000000000001,0.062,0.09699999999999999,0.7,120.0,69.0,1
0.095,0.006,0.006999999999999999,10.7,985.0,985.0,1
0.004,0.066,0.068,0.7,82.0,42.0,1
0.106,0.004,0.001,15.3,985.0,985.0,1
0.068,0.005,0.076,7.0,234.0,43.0,1
0.009000000000000001,0.063,0.073,0.6,117.0,50.0,1
0.011000000000000001,0.062,0.092,0.6,150.0,72.0,1
0.006999999999999999,0.068,0.06,0.6,131.0,58.0,1
0.006,0.066,0.057,0.6,141.0,64.0,1
0.008,0.061,0.052000000000000005,0.4,96.0,56.0,1
0.013000000000000001,0.07400000000000001,0.053,0.8,113.0,63.0,1
0.013000000000000001,0.065,0.055,0.7,134.0,83.0,1
0.011000000000000001,0.061,0.052000000000000005,0.6,127.0,71.0,1
0.071,0.013000000000000001,0.04,9.1,159.0,142.0,1
0.054000000000000006,0.019,0.055999999999999994,5.2,210.0,191.0,1
0.01,0.063,0.055999999999999994,0.8,95.0,48.0,1
0.01,0.061,0.08,0.8,125.0,73.0,1
0.008,0.071,0.054000000000000006,0.8,118.0,60.0,1
0.006999999999999999,0.061,0.055,0.8,122.0,61.0,1
0.13699999999999998,0.01,0.006999999999999999,15.2,279.0,271.0,1
0.061,0.008,0.10400000000000001,6.1,374.0,368.0,1
0.008,0.065,0.064,0.8,132.0,55.0,1
0.005,0.061,0.068,0.7,103.0,62.0,1
0.004,0.062,0.12,0.9,116.0,72.0,1
0.077,0.013999999999999999,0.055,3.0,261.0,251.0,1
0.07,0.003,0.081,7.2,222.0,216.0,1
0.067,0.015,0.052000000000000005,7.8,105.0,76.0,1
0.12,0.006999999999999999,0.048,12.0,389.0,387.0,1
